;Data;ln,pibd,;lin,tendencia;lin,hiato;qua,tendencia;qua,hiato;hp,tendencia;hp,hiato;bp,tendencia;bp,hiato;cf,tendencia;cf,hiato;bn,tendencia;bn,hiato;nou,tendencia;nou,hiato
1;01/03/1996;4,600912002;4,646702961;-0,045790959;4,646702961;-0,045790959;4,619962892;-0,019050891;NA;NA;4,616043874;-0,015131872;4,598807642;-0,00210436;4,66773733;-0,066825328
2;01/06/1996;4,609336715;4,652432635;-0,043095919;4,652432635;-0,043095919;4,624723632;-0,015386916;NA;NA;4,61724932;-0,007912605;4,606949984;-0,002386731;4,67687981;-0,067543095
3;01/09/1996;4,647426389;4,658162309;-0,01073592;4,658162309;-0,01073592;4,629472465;0,017953925;NA;NA;4,646887443;0,000538947;4,643843342;-0,003583048;4,712414668;-0,064988278
4;01/12/1996;4,637471409;4,663891983;-0,026420574;4,663891983;-0,026420574;4,634187867;0,003283542;NA;NA;4,62953484;0,00793657;4,635340621;-0,002130788;4,704717487;-0,067246078
5;01/03/1997;4,646458193;4,669621657;-0,023163464;4,669621657;-0,023163464;4,638859536;0,007598657;NA;NA;4,633302468;0,013155725;4,647731445;0,001273252;4,713809109;-0,067350916
6;01/06/1997;4,655495478;4,675351331;-0,019855853;4,675351331;-0,019855853;4,643479223;0,012016256;NA;NA;4,639389781;0,016105698;4,657351939;0,00185646;4,722760368;-0,06726489
7;01/09/1997;4,665990726;4,681081005;-0,015090279;4,681081005;-0,015090279;4,648043425;0,017947301;NA;NA;4,649027281;0,016963445;4,668035833;0,002045107;4,732833869;-0,066843143
8;01/12/1997;4,674052453;4,686810679;-0,012758226;4,686810679;-0,012758226;4,652556152;0,021496301;NA;NA;4,658365182;0,015687271;4,677287775;0,003235321;4,74054472;-0,066492267
9;01/03/1998;4,655792089;4,692540353;-0,036748264;4,692540353;-0,036748264;4,657032631;-0,001240542;NA;NA;4,643582336;0,012209753;4,655060957;-0,000731132;4,724486039;-0,06869395
10;01/06/1998;4,670097951;4,698270027;-0,028172076;4,698270027;-0,028172076;4,661501522;0,008596429;NA;NA;4,663198966;0,006898985;4,673884725;0,003786774;4,737418552;-0,067320601
11;01/09/1998;4,670934701;4,703999701;-0,033065001;4,703999701;-0,033065001;4,665990711;0,004943989;NA;NA;4,670285917;0,000648784;4,66993328;-0,001001421;4,738092547;-0,067157846
12;01/12/1998;4,659385531;4,709729375;-0,050343845;4,709729375;-0,050343845;4,670533458;-0,011147928;NA;NA;4,664893886;-0,005508356;4,659183377;-0,000202154;4,727477359;-0,068091829
13;01/03/1999;4,662467284;4,71545905;-0,052991766;4,71545905;-0,052991766;4,675166111;-0,012698827;4,676941127;-0,014473843;4,673216073;-0,010748789;4,661658836;-0,000808448;4,72977659;-0,067309306
14;01/06/1999;4,665704955;4,721188724;-0,055483769;4,721188724;-0,055483769;4,679918051;-0,014213097;4,684563308;-0,018858353;4,680007588;-0,014302634;4,662004292;-0,003700662;4,732018963;-0,066314009
15;01/09/1999;4,666326449;4,726918398;-0,060591949;4,726918398;-0,060591949;4,684810724;-0,018484275;4,685894279;-0,01956783;4,681377488;-0,015051039;4,665884063;-0,000442386;4,731721708;-0,065395259
16;01/12/1999;4,680684093;4,732648072;-0,051963979;4,732648072;-0,051963979;4,68985669;-0,009172597;4,69663073;-0,015946637;4,692361752;-0,011677659;4,676418649;-0,004265444;4,743539902;-0,062855809
17;01/03/2000;4,691732884;4,738377746;-0,046644862;4,738377746;-0,046644862;4,695056957;-0,003324073;4,699484015;-0,007751131;4,695510304;-0,00377742;4,688650847;-0,003082037;4,752207358;-0,060474474
18;01/06/2000;4,70453615;4,74410742;-0,039571269;4,74410742;-0,039571269;4,700406803;0,004129347;4,701287279;0,003248872;4,697726192;0,006809958;4,703775884;-0,000760267;4,762269417;-0,057733267
19;01/09/2000;4,717557382;4,749837094;-0,032279712;4,749837094;-0,032279712;4,705899425;0,011657957;4,704817512;0,01273987;4,701651743;0,015905638;4,716960561;-0,000596821;4,772358298;-0,054800917
20;01/12/2000;4,730270361;4,755566768;-0,025296407;4,755566768;-0,025296407;4,711530602;0,018739759;4,714371331;0,01589903;4,711324266;0,018946095;4,731196832;0,000926471;4,782012189;-0,051741828
21;01/03/2001;4,732392471;4,761296442;-0,028903971;4,761296442;-0,028903971;4,7173034;0,015089072;4,721467906;0,010924565;4,718353225;0,014039247;4,735565638;0,003173166;4,782026022;-0,04963355
22;01/06/2001;4,72736939;4,767026116;-0,039656726;4,767026116;-0,039656726;4,723232596;0,004136794;4,726465205;0,000904185;4,7235481;0,00382129;4,730386407;0,003017017;4,775491792;-0,048122402
23;01/09/2001;4,723286586;4,77275579;-0,049469204;4,77275579;-0,049469204;4,729342399;-0,006055812;4,731967192;-0,008680605;4,729003569;-0,005716983;4,726700704;0,003414118;4,76965569;-0,046369103
24;01/12/2001;4,719888242;4,778485464;-0,058597222;4,778485464;-0,058597222;4,735659602;-0,01577136;4,732305943;-0,012417701;4,728938706;-0,009050464;4,721418376;0,001530134;4,764289567;-0,044401324
25;01/03/2002;4,74132522;4,784215138;-0,042889919;4,784215138;-0,042889919;4,742207215;-0,000881996;4,749797171;-0,008471951;4,746287744;-0,004962524;4,740188248;-0,001136972;4,78103883;-0,03971361
26;01/06/2002;4,749928829;4,789944812;-0,040015984;4,789944812;-0,040015984;4,74899839;0,000930439;4,750675808;-0,000746979;4,747409419;0,00251941;4,746516384;-0,003412445;4,786162741;-0,036233912
27;01/09/2002;4,759854569;4,795674486;-0,035819917;4,795674486;-0,035819917;4,756045727;0,003808842;4,75584522;0,004009348;4,752900162;0,006954407;4,757656994;-0,002197575;4,792356991;-0,032502422
28;01/12/2002;4,770653354;4,80140416;-0,030750806;4,80140416;-0,030750806;4,763362407;0,007290947;4,769110263;0,001543091;4,766578316;0,004075038;4,770145175;-0,000508179;4,799230063;-0,028576709
29;01/03/2003;4,76702774;4,807133834;-0,040106094;4,807133834;-0,040106094;4,770963995;-0,003936255;4,774977037;-0,007949297;4,772253714;-0,005225974;4,768006802;0,000979062;4,793084476;-0,026056736
30;01/06/2003;4,757468597;4,812863508;-0,055394911;4,812863508;-0,055394911;4,778870609;-0,021402012;4,776599691;-0,019131094;4,773073229;-0,015604631;4,761437344;0,003968747;4,781532985;-0,024064387
31;01/09/2003;4,766212185;4,818593182;-0,052380998;4,818593182;-0,052380998;4,78709991;-0,020887725;4,79121174;-0,024999555;4,787170394;-0,020958209;4,766757007;0,000544822;4,786295756;-0,020083571
32;01/12/2003;4,777377619;4,824322857;-0,046945237;4,824322857;-0,046945237;4,795656179;-0,018278559;4,799413266;-0,022035647;4,795685576;-0,018307957;4,777095618;-0,000282001;4,793152031;-0,015774412
33;01/03/2004;4,791874668;4,830052531;-0,038177863;4,830052531;-0,038177863;4,804530645;-0,012655977;4,803990894;-0,012116226;4,801135096;-0,009260428;4,789929671;-0,001944996;4,802930181;-0,011055513
34;01/06/2004;4,818390972;4,835782205;-0,017391232;4,835782205;-0,017391232;4,813703112;0,00468786;4,819234339;-0,000843367;4,816871375;0,001519597;4,815511042;-0,00287993;4,82343115;-0,005040178
35;01/09/2004;4,829733054;4,841511879;-0,011778824;4,841511879;-0,011778824;4,823145475;0,006587579;4,823277476;0,006455578;4,820435538;0,009297516;4,828938878;-0,000794176;4,830307337;-0,000574283
36;01/12/2004;4,83849298;4,847241553;-0,008748573;4,847241553;-0,008748573;4,832832558;0,005660422;4,830948342;0,007544638;4,826884498;0,011608483;4,841608639;0,003115659;4,834857146;0,003635834
37;01/03/2005;4,844960338;4,852971227;-0,008010889;4,852971227;-0,008010889;4,842743302;0,002217036;4,841255944;0,003704394;4,836120395;0,008839942;4,848654592;0,003694254;4,837352288;0,00760805
38;01/06/2005;4,86160697;4,858700901;0,002906069;4,858700901;0,002906069;4,852860186;0,008746784;4,863944121;-0,002337151;4,858255262;0,003351708;4,865734408;0,004127438;4,848980614;0,012626356
39;01/09/2005;4,8507801;4,864430575;-0,013650475;4,864430575;-0,013650475;4,863167075;-0,012386975;4,858778589;-0,007998489;4,8527074;-0,001927299;4,855323971;0,004543871;4,836015441;0,014764659
40;01/12/2005;4,865360889;4,870160249;-0,00479936;4,870160249;-0,00479936;4,873653301;-0,008292412;4,876386929;-0,01102604;4,87009566;-0,004734771;4,867623598;0,00226271;4,845848241;0,019512647
41;01/03/2006;4,881631752;4,875889923;0,005741829;4,875889923;0,005741829;4,884300452;-0,0026687;4,891665646;-0,010033894;4,885920592;-0,00428884;4,882782269;0,001150517;4,857239453;0,024392299
